region,patch,date.played,team.a,team.b,map,first.pick.team,map.pick.team,ban.1,ban.2,pick.1,pick.2,pick.3,pick.4,pick.5,ban.3,ban.4,pick.6,pick.7,pick.8,pick.9,pick.10,winner,loser,game.number
Europe,22.7,2/3/2017,Playing Ducks,Tricked eSports,Battlefield of Eternity,Playing Ducks,TRICKED eSports,Ragnaros,Tassadar,E.T.C.,Artanis,Valla,Li-Ming,Malfurion,Tychus,Anub'arak,Cho,Gall,Leoric,Kharazim,Auriel,Playing Ducks,Tricked eSports,94
Europe,22.7,2/3/2017,Playing Ducks,Tricked eSports,Dragon Shire,TRICKED eSports,Playing Ducks,Tassadar,Zeratul,Dehaka,E.T.C.,Falstad,Malfurion,Jaina,Xul,Tychus,Ragnaros,Rehgar,Arthas,Muradin,Li-Ming,Playing Ducks,Tricked eSports,95
Europe,22.7,2/3/2017,Playing Ducks,Tricked eSports,Warhead Junction,TRICKED eSports,Playing Ducks,Tassadar,Zeratul,Dehaka,E.T.C.,Falstad,Ragnaros,Tychus,Anub'arak,Medivh,Li-Ming,Tyrael,Rehgar,Diablo,Brightwing,Playing Ducks,Tricked eSports,96
Europe,22.7,2/3/2017,beGenius,Fnatic,Tomb of the Spider Queen,beGenius,Fnatic,Ragnaros,Tassadar,Tychus,E.T.C.,Malfurion,Zarya,Xul,Rehgar,Chromie,Dehaka,Sylvanas,Kharazim,Leoric,Li-Ming,Fnatic,beGenius,97
Europe,22.7,2/3/2017,beGenius,Fnatic,Sky Temple,beGenius,Fnatic,Dehaka,Tassadar,Falstad,Malfurion,Zeratul,Varian,Brightwing,Diablo,E.T.C.,Tyrael,Ragnaros,Anub'arak,Ragnaros,Valla,Fnatic,beGenius,98
Europe,22.7,2/3/2017,beGenius,Fnatic,Infernal Shrines,Fnatic,beGenius,Tassadar,Ragnaros,Malfurion,E.T.C.,Tychus,Tyrael,Valla,Dehaka,Xul,Sylvanas,Kharazim,Greymane,Zarya,Arthas,Fnatic,beGenius,99
North America,22.7,2/3/2017,B Step,No Tomorrow,Battlefield of Eternity,No Tomorrow,B Step,Artanis,Tassadar,Ragnaros,Malfurion,Li-Ming,E.T.C.,Valla,Zarya,Sylvanas,Thrall,Varian,Medivh,Rehgar,Tychus,B Step,No Tomorrow,100
North America,22.7,2/3/2017,B Step,No Tomorrow,Dragon Shire,B Step,No Tomorrow,Arthas,Tassadar,Falstad,Malfurion,Ragnaros,Rehgar,Thrall,Varian,Zeratul,E.T.C.,Tychus,Diablo,Jaina,Dehaka,B Step,No Tomorrow,101
North America,22.7,2/3/2017,B Step,No Tomorrow,Infernal Shrines,No Tomorrow,B Step,Malfurion,Artanis,Tassadar,Diablo,Ragnaros,Valla,E.T.C.,Zarya,Gul'dan,Kharazim,Chromie,Auriel,Kerrigan,Tyrande,B Step,No Tomorrow,102
North America,22.7,2/3/2017,Superstars,Gale Force eSports,Towers of Doom,Superstars,Gale Force eSports,Artanis,Tassadar,Malfurion,Falstad,Zeratul,Tychus,Medivh,E.T.C.,The Lost Vikings,Dehaka,Brightwing,Tyrael,Varian,Li-Ming,Gale Force eSports,Superstars,103
