region,patch,date.played,team.a,team.b,map,first.pick.team,map.pick.team,ban.1,ban.2,pick.1,pick.2,pick.3,pick.4,pick.5,ban.3,ban.4,pick.6,pick.7,pick.8,pick.9,pick.10,winner,loser,game.number
North America,22.7,1/21/2017,Gale Force eSports,B Step,Sky Temple,Gale Force eSports,B Step,Malfurion,Artanis,Tassadar,Brightwing,Ragnaros,Zarya,Valla,Auriel,E.T.C.,Tyrael,Tychus,Rehgar,Muradin,Varian,Gale Force eSports,B Step,31
Europe,22.7,1/22/2017,Tricked eSports,Team Expert,Dragon Shire,Tricked eSports,Team Expert,E.T.C.,Tassadar,Dehaka,Rehgar,Muradin,Malfurion,Tychus,Zeratul,Medivh,Ragnaros,Jaina,Anub'arak,Artanis,Xul,Team Expert,Tricked eSports,32
Europe,22.7,1/22/2017,Tricked eSports,Team Expert,Sky Temple,Tricked eSports,Team Expert,E.T.C.,Tassadar,Dehaka,Ragnaros,Medivh,Zeratul,Jaina,Diablo,Tychus,Sylvanas,Brightwing,Muradin,Malfurion,Anub'arak,Team Expert,Tricked eSports,33
Europe,22.7,1/22/2017,Tricked eSports,Team Expert,Infernal Shrines,Tricked eSports,Team Expert,Tychus,Tassadar,Ragnaros,E.T.C.,Malfurion,Arthas,Valla,Rehgar,Jaina,Leoric,Falstad,Brightwing,Tyrael,Sylvanas,Team Expert,Tricked eSports,34
Europe,22.7,1/22/2017,Misfits,Fnatic,Tomb of the Spider Queen,Fnatic,Misfits,Tassadar,Ragnaros,Malfurion,Zarya,Gul'dan,Tychus,E.T.C.,Jaina,Johanna,Auriel,Thrall,Leoric,Chromie,Anub'arak,Fnatic,Misfits,35
Europe,22.7,1/22/2017,Misfits,Fnatic,Sky Temple,Misfits,Fnatic,Dehaka,Tassadar,Ragnaros,Brightwing,Falstad,Zeratul,Diablo,Jaina,E.T.C.,Tyrael,Tychus,Li-Ming,Malfurion,Muradin,Misfits,Fnatic,36
Europe,22.7,1/22/2017,Misfits,Fnatic,Infernal Shrines,Fnatic,Misfits,Ragnaros,Tassadar,Tychus,Malfurion,Diablo,E.T.C.,Rehgar,Leoric,Zeratul,Zarya,Sylvanas,Greymane,Tyrael,Illidan,Fnatic,Misfits,37
Europe,22.7,1/22/2017,Misfits,Fnatic,Dragon Shire,Misfits,Fnatic,E.T.C.,Tassadar,Dehaka,Muradin,Ragnaros,Zeratul,Malfurion,Jaina,Tychus,Li-Ming,Diablo,Leoric,Nazeebo,Brightwing,Misfits,Fnatic,38
Europe,22.7,1/22/2017,Misfits,Fnatic,Cursed Hollow,Fnatic,Misfits,Zeratul,E.T.C.,Ragnaros,Tassadar,Valla,Brightwing,Muradin,Falstad,Dehaka,Rehgar,Tyrael,Medivh,Tychus,Lunara,Misfits,Fnatic,39
North America,22.7,1/22/2017,B Step,Team 8,Cursed Hollow,B Step,Team 8,Medivh,Artanis,Tassadar,Malfurion,Zarya,Brightwing,Valla,Dehaka,Diablo,E.T.C.,Ragnaros,Leoric,Tyrael,Azmodan,B Step,Team 8,40
North America,22.7,1/22/2017,B Step,Team 8,Battlefield of Eternity,Team 8,B Step,Tychus,Tassadar,Artanis,Li-Ming,Malfurion,Diablo,Ragnaros,Rehgar,Zarya,Falstad,Zul'jin,Kharazim,Sylvanas,E.T.C.,Team 8,B Step,41
North America,22.7,1/22/2017,B Step,Team 8,Tomb of the Spider Queen,Team 8,B Step,Tychus,Medivh,Ragnaros,Malfurion,Artanis,Tassadar,Valla,Diablo,Gul'dan,Greymane,E.T.C.,Rehgar,Johanna,Sylvanas,Team 8,B Step,42
North America,22.7,1/22/2017,B Step,Team 8,Sky Temple,Team 8,B Step,Tassadar,Medivh,Ragnaros,Tychus,Artanis,Malfurion,Zarya,Valla,Diablo,Falstad,Leoric,Li-Ming,E.T.C.,Rehgar,Team 8,B Step,43
North America,22.7,1/22/2017,Naventic,Gale Force eSports,Battlefield of Eternity,Gale Force eSports,Naventic,Ragnaros,Artanis,Malfurion,E.T.C.,Li-Ming,Tassadar,Valla,Illidan,Lt. Morales,Tychus,Thrall,Muradin,Tracer,Rehgar,Gale Force eSports,Naventic,44
North America,22.7,1/22/2017,Naventic,Gale Force eSports,Braxis Holdout,Naventic,Gale Force eSports,Tassadar,Lt. Morales,Malfurion,Gul'dan,Zarya,E.T.C.,Tychus,Artanis,Brightwing,Valla,Auriel,Li-Ming,Ragnaros,Thrall,Gale Force eSports,Naventic,45
North America,22.7,1/22/2017,Naventic,Gale Force eSports,Towers of Doom,Naventic,Gale Force eSports,Tassadar,Malfurion,Zarya,Falstad,Brightwing,Rehgar,Li-Ming,E.T.C.,Diablo,Zeratul,Muradin,Varian,Ragnaros,Dehaka,Gale Force eSports,Naventic,46
Europe,22.7,1/27/2017,Team Dignitas,Synergy,Cursed Hollow,Team Dignitas,Synergy,Dehaka,Tassadar,Falstad,Artanis,Tychus,E.T.C.,Malfurion,Li-Ming,Rehgar,Muradin,Brightwing,Zeratul,Ragnaros,Medivh,Team Dignitas,Synergy,47
Europe,22.7,1/27/2017,Team Dignitas,Synergy,Towers of Doom,Synergy,Team Dignitas,Falstad,Tassadar,Ragnaros,Zeratul,Jaina,Anub'arak,Li-Ming,Tychus,Malfurion,Diablo,Rehgar,Muradin,Kharazim,Arthas,Team Dignitas,Synergy,48
Europe,22.7,1/27/2017,Team Dignitas,Synergy,Tomb of the Spider Queen,Synergy,Team Dignitas,Leoric,Tassadar,Ragnaros,E.T.C.,Tychus,Malfurion,Valla,Zarya,Rehgar,Medivh,Arthas,Johanna,Rexxar,Brightwing,Team Dignitas,Synergy,49
Europe,22.7,1/27/2017,Playing Ducks,beGenius,Dragon Shire,beGenius,Playing Ducks,Dehaka,Tassadar,Ragnaros,E.T.C.,Tychus,Malfurion,Valla,Johanna,Artanis,Rehgar,Xul,Muradin,Arthas,Leoric,Playing Ducks,beGenius,50
Europe,22.7,1/27/2017,Playing Ducks,beGenius,Towers of Doom,beGenius,Playing Ducks,Ragnaros,Tassadar,Tychus,Falstad,E.T.C.,Zeratul,Malfurion,Diablo,Varian,Jaina,Brightwing,Muradin,Anub'arak,Dehaka,Playing Ducks,beGenius,51
Europe,22.7,1/27/2017,Playing Ducks,beGenius,Infernal Shrines,Playing Ducks,beGenius,Ragnaros,Tassadar,Tychus,Malfurion,E.T.C.,Falstad,Dehaka,Diablo,Zeratul,Li-Ming,Thrall,Johanna,Rehgar,Xul,beGenius,Playing Ducks,52
Europe,22.7,1/27/2017,Playing Ducks,beGenius,Cursed Hollow,Playing Ducks,beGenius,Tyrae,Tassadar,E.T.C.,Tychus,Ragnaros,Valla,Malfurion,Zarya,Zeratul,Muradin,Rehgar,Medivh,Thrall,Diablo,Playing Ducks,beGenius,53
North America,22.7,1/27/2017,Tempo Storm,Team Freedom,Battlefield of Eternity,Tempo Storm,Team Freedom,Malfurion,Tassadar,Li-Ming,Artanis,E.T.C.,Illidan,Tyrael,Rehgar,Tychus,Brightwing,Ragnaros,Sylvanas,Kharazim,Tracer,Team Freedom,Tempo Storm,54
North America,22.7,1/27/2017,Tempo Storm,Team Freedom,Tomb of the Spider Queen,Team Freedom,Tempo Storm,Artanis,Ragnaros,Tassadar,Zarya,Malfurion,Diablo,Valla,Auriel,Tychus,Thrall,E.T.C.,Rehgar,Leoric,Gul'dan,Tempo Storm,Team Freedom,55
North America,22.7,1/27/2017,Tempo Storm,Team Freedom,Sky Temple,Team Freedom,Tempo Storm,Artanis,Ragnaros,Tassadar,Diablo,Malfurion,Valla,Tyrael,Tracer,Zarya,Li-Ming,Zeratul,Brightwing,Illidan,Falstad,Tempo Storm,Team Freedom,56
North America,22.7,1/27/2017,Tempo Storm,Team Freedom,Towers of Doom,Team Freedom,Tempo Storm,Zarya,Tassadar,Ragnaros,Artanis,Malfurion,Diablo,Tychus,Rehgar,E.T.C.,Li-Ming,Falstad,Kharazim,Zeratul,Johanna,Team Freedom,Tempo Storm,57
North America,22.7,1/27/2017,Tempo Storm,Team Freedom,Cursed Hollow,Tempo Storm,Team Freedom,Ragnaros,Tassadar,Zeratul,Malfurion,Artanis,Diablo,Tychus,Rehgar,E.T.C.,Li-Ming,Tyrael,Falstad,Kharazim,Thrall,Tempo Storm,Team Freedom,58
North America,22.7,1/27/2017,No Tomorrow,Superstars,Dragon Shire,Superstars,No Tomorrow,Ragnaros,Tassadar,Malfurion,Artanis,Tychus,E.T.C.,Dehaka,Falstad,Gul'dan,Li-Ming,Diablo,Zarya,Valla,Rehgar,No Tomorrow,Superstars,59
North America,22.7,1/27/2017,No Tomorrow,Superstars,Sky Temple,Superstars,No Tomorrow,Raynor,Tassadar,Artanis,Tychus,E.T.C.,Malfurion,Falstad,Diablo,Dehaka,Zeratul,Li-Ming,Johanna,Valla,Kharazim,Superstars,No Tomorrow,60
North America,22.7,1/27/2017,No Tomorrow,Superstars,Braxis Holdout,No Tomorrow,Superstars,Cho,Ragnaros,Artanis,Tassadar,Valla,Malfurion,Gul'dan,Zarya,Auriel,E.T.C.,Rexxar,Tychus,Diablo,Lt. Morales,Superstars,No Tomorrow,61
North America,22.7,1/27/2017,No Tomorrow,Superstars,Tomb of the Spider Queen,No Tomorrow,Superstars,Tassadar,Ragnaros,Gul'dan,Malfurion,Artanis,Rehgar,E.T.C.,Tychus,Diablo,Zarya,Valla,Tyrael,Greymane,Johanna,Superstars,No Tomorrow,62
Europe,22.7,1/28/2017,Team Dignitas,Tricked eSports,Infernal Shrines,Tricked eSports,Team Dignitas,Ragnaros,Tassadar,Tychus,E.T.C.,Malfurion,Rehgar,Tyrael,Illidan,Jaina,Arthas,Falstad,Dehaka,Artanis,Sylvanas,Team Dignitas,Tricked eSports,63
Europe,22.7,1/28/2017,Team Dignitas,Tricked eSports,Cursed Hollow,Team Dignitas,Tricked eSports,Tassadar,Ragnaros,E.T.C.,Tychus,Dehaka,Malfurion,Falstad,Arthas,Rehgar,Muradin,Zeratul,Thrall,Li-Ming,Uther,Team Dignitas,Tricked eSports,64
Europe,22.7,1/28/2017,Team Dignitas,Tricked eSports,Towers of Doom,Tricked eSports,Team Dignitas,Falstad,Tassadar,Ragnaros,E.T.C.,Tychus,Rehgar,Zeratul,Diablo,Malfurion,Jaina,Arthas,Tyrael,Valla,Brightwing,Team Dignitas,Tricked eSports,65
